iter	RMSE
0	64150.03151
1	63115.86016
2	62194.50647
3	61392.44448
4	60589.33899
5	59831.9732
6	59246.60482
7	58618.44736
8	58052.6407
9	57563.20239
10	57047.31796
11	56595.24173
12	56149.99248
13	55664.06997
14	55169.68405
15	54756.93226
16	54391.86874
17	54056.40125
18	53679.10452
19	53401.51175
20	53130.2809
21	52838.37152
22	52608.70142
23	52373.76129
24	52176.62021
25	51968.59649
26	51759.39045
27	51573.08415
28	51363.25421
29	51213.62207
30	51068.62142
31	50931.1972
32	50805.91183
33	50628.25872
34	50537.85043
35	50405.82504
36	50264.07407
37	50184.33574
38	50064.50103
39	49967.95848
40	49843.55753
41	49762.77851
42	49674.31976
43	49596.77071
44	49540.67822
45	49483.08637
46	49411.68646
47	49348.72661
48	49275.8944
49	49224.61639
50	49146.14937
51	49098.1438
52	49048.41878
53	48998.61905
54	48968.63047
55	48921.00742
56	48868.78522
57	48834.93943
58	48812.38354
59	48762.75073
60	48721.02036
61	48675.22125
62	48635.015
63	48616.39329
64	48588.84001
65	48558.19561
66	48534.18801
67	48502.70792
68	48453.19076
69	48433.70146
70	48396.18947
71	48382.23533
72	48368.64713
73	48348.30333
74	48325.11166
75	48300.04784
76	48274.13558
77	48256.59775
78	48245.98318
79	48209.8306
80	48186.2531
81	48177.69476
82	48152.41931
83	48129.17716
84	48109.4011
85	48093.98457
86	48079.93021
87	48053.88679
88	48032.95613
89	48018.43149
90	48005.0257
91	47989.51575
92	47976.92176
93	47966.4827
94	47939.89384
95	47924.63853
96	47909.12829
97	47895.65095
98	47880.08125
99	47865.3901
100	47827.71719
101	47807.7987
102	47794.81354
103	47778.75012
104	47773.35906
105	47765.83274
106	47755.05203
107	47744.05132
108	47726.18951
109	47711.26018
110	47706.69684
111	47690.88188
112	47683.55355
113	47676.4664
114	47671.30587
115	47663.6071
116	47656.18813
117	47647.91603
118	47629.82372
119	47623.89969
120	47620.92079
121	47595.99554
122	47583.77817
123	47573.51408
124	47570.5201
125	47565.94713
126	47559.00016
127	47552.49978
128	47546.81481
129	47538.01144
130	47526.90836
131	47517.33178
132	47509.43041
133	47495.0482
134	47485.13835
135	47481.4716
136	47470.59231
137	47455.92237
138	47445.76649
139	47442.55
140	47439.92978
141	47423.40597
142	47413.69006
143	47393.72205
144	47388.10946
145	47384.5773
146	47372.44792
147	47367.06569
148	47361.95492
149	47357.19843
150	47338.32371
151	47330.82834
152	47315.85881
153	47302.39171
154	47297.94726
155	47284.11488
156	47275.96154
157	47266.05682
158	47265.44394
159	47259.08547
160	47254.19894
161	47236.35314
162	47230.00654
163	47221.09948
164	47214.13324
165	47210.05987
166	47207.1684
167	47189.33212
168	47181.66028
169	47156.85415
170	47153.94621
171	47149.46395
172	47141.3617
173	47134.64381
174	47125.74544
175	47116.6802
176	47115.87016
177	47104.32581
178	47095.44413
179	47078.2061
180	47071.69459
181	47064.61932
182	47044.68886
183	47035.95901
184	47028.50185
185	47022.14114
186	47014.98108
187	47009.01811
188	46991.61495
189	46982.11763
190	46978.22655
191	46972.61652
192	46959.80018
193	46948.69132
194	46934.04169
195	46910.18
196	46904.76409
197	46885.18094
198	46863.83926
199	46858.44336
200	46852.36427
201	46848.25738
202	46844.85134
203	46841.39247
204	46837.69147
205	46835.35015
206	46819.87776
207	46819.32388
208	46808.05652
209	46804.08484
210	46792.73945
211	46772.07103
212	46756.95479
213	46747.11449
214	46732.71367
215	46730.32361
216	46726.74734
217	46723.24898
218	46719.27072
219	46718.44035
220	46715.46197
221	46708.01251
222	46707.26183
223	46704.17431
224	46700.72458
225	46691.09733
226	46674.41325
227	46671.4898
228	46666.56714
229	46661.05507
230	46652.27273
231	46644.85103
232	46641.6312
233	46628.8055
234	46626.19286
235	46621.97953
236	46616.65418
237	46610.36227
238	46607.96714
239	46594.84392
240	46592.19468
241	46578.89388
242	46574.93977
243	46569.16808
244	46567.68689
245	46553.52471
246	46533.79705
247	46531.5996
248	46529.54751
249	46523.04823
250	46504.0617
251	46491.08616
252	46485.73058
253	46471.01808
254	46465.00668
255	46461.16744
256	46458.48751
257	46447.36684
258	46441.92754
259	46437.10535
260	46427.83916
261	46412.43802
262	46410.54294
263	46399.03601
264	46397.45408
265	46395.02097
266	46390.13044
267	46389.51394
268	46377.84575
269	46366.99237
270	46365.16895
271	46357.23255
272	46353.6233
273	46348.2233
274	46337.88445
275	46328.61421
276	46324.55176
277	46322.56503
278	46319.81461
279	46314.76373
280	46310.95429
281	46304.16742
282	46298.06177
283	46292.53059
284	46290.4037
285	46278.75677
286	46276.76267
287	46260.98934
288	46251.3976
289	46241.46756
290	46239.75593
291	46234.19646
292	46229.77235
293	46218.83487
294	46209.29649
295	46199.56024
296	46195.92362
297	46187.2821
298	46184.03423
299	46180.87759
300	46178.81861
301	46172.96559
302	46171.35293
303	46163.9903
304	46163.43816
305	46160.28337
306	46153.97124
307	46147.12778
308	46140.52332
309	46136.12453
310	46132.98177
311	46125.71758
312	46118.71847
313	46114.57234
314	46103.16296
315	46101.03803
316	46099.62814
317	46096.2985
318	46089.07088
319	46087.59575
320	46084.1566
321	46082.06095
322	46080.55072
323	46079.18335
324	46074.91949
325	46073.21663
326	46067.80881
327	46064.45903
328	46061.38453
329	46058.43706
330	46047.76746
331	46038.12811
332	46030.79197
333	46024.436
334	46018.04112
335	46013.32723
336	45999.9448
337	45994.19168
338	45991.76508
339	45987.75588
340	45982.97585
341	45972.28972
342	45971.13405
343	45970.10878
344	45959.71373
345	45955.25789
346	45954.53903
347	45951.87816
348	45943.10243
349	45939.80829
350	45938.33401
351	45930.59197
352	45912.92572
353	45906.42378
354	45896.76879
355	45891.42967
356	45887.05146
357	45882.53335
358	45879.65523
359	45873.47044
360	45870.76114
361	45866.89015
362	45861.10808
363	45858.35442
364	45851.2321
365	45842.78256
366	45827.92482
367	45824.22204
368	45816.8697
369	45814.58762
